sf6,o2,chf3,pressure,rf_power,predicted_etch_rate_um_min,predicted_selectivity,predicted_nonuniformity_pct,predicted_anisotropy_auxiliary,nominally_meets_primary_specs,prediction_confidence_state,supported_prediction_confidence_state,inside_design_hull,inside_leverage_envelope,inside_design_region,prediction_leverage,meets_all_primary_specs,grid_row,grid_column
27.5,3.2,12.0,100.0,100.0,0.35529199999999994,8.937281250000002,5.189541666666666,0.830164895833333,False,uncertain,uncertain,True,True,True,0.3779841145833333,False,6,35
28.0,3.2,12.0,100.0,100.0,0.3580127121212121,9.132015151515153,5.1879810606060595,0.826528636363636,False,uncertain,uncertain,True,True,True,0.37406856060606053,False,6,36
28.5,3.2,12.0,100.0,100.0,0.36066134469696964,9.326493371212123,5.184505681818181,0.8226416382575753,False,uncertain,uncertain,True,True,True,0.37104699337121216,False,6,37
29.0,3.2,12.0,100.0,100.0,0.3632378977272727,9.520715909090912,5.179115530303029,0.8185039015151511,False,uncertain,uncertain,True,True,True,0.36890151515151515,False,6,38
29.5,3.2,12.0,100.0,100.0,0.36574237121212116,9.714682765151517,5.171810606060605,0.8141154261363632,False,uncertain,uncertain,True,True,True,0.3676193418560606,False,6,39
30.0,3.2,12.0,100.0,100.0,0.36817476515151515,9.90839393939394,5.162590909090909,0.8094762121212117,False,uncertain,uncertain,True,True,True,0.367192803030303,False,6,40
30.5,3.2,12.0,100.0,100.0,0.3705350795454545,10.101849431818184,5.151456439393939,0.8045862594696965,False,uncertain,uncertain,True,True,True,0.3676193418560606,False,6,41
31.0,3.2,12.0,100.0,100.0,0.37282331439393934,10.295049242424245,5.1384071969696965,0.7994455681818177,False,uncertain,uncertain,True,True,True,0.36890151515151515,False,6,42
31.5,3.2,12.0,100.0,100.0,0.3750394696969696,10.487993371212124,5.123443181818181,0.7940541382575753,False,uncertain,uncertain,True,True,True,0.37104699337121216,False,6,43
32.0,3.2,12.0,100.0,100.0,0.3771835454545454,10.68068181818182,5.106564393939393,0.7884119696969694,False,uncertain,uncertain,True,True,True,0.37406856060606053,False,6,44
32.5,3.2,12.0,100.0,100.0,0.3792555416666666,10.873114583333335,5.087770833333333,0.7825190624999996,False,uncertain,uncertain,True,True,True,0.3779841145833333,False,6,45
33.0,3.2,12.0,100.0,100.0,0.3812554583333333,11.065291666666669,5.0670625,0.7763754166666662,False,uncertain,uncertain,True,True,True,0.3828166666666666,False,6,46
33.5,3.2,12.0,100.0,100.0,0.3831832954545454,11.25721306818182,5.044439393939394,0.7699810321969692,False,uncertain,unsupported,False,True,False,0.38859434185606057,False,6,47
34.0,3.2,12.0,100.0,100.0,0.385039053030303,11.44887878787879,5.019901515151514,0.7633359090909086,False,uncertain,unsupported,False,True,False,0.3953503787878787,False,6,48
34.5,3.2,12.0,100.0,100.0,0.386822731060606,11.640288825757576,4.993448863636363,0.7564400473484845,False,uncertain,unsupported,False,True,False,0.4031231297348485,False,6,49
